text,label
"Assunto: Relatório de Vendas - Agosto. Corpo: Olá equipe, segue em anexo o relatório consolidado de vendas do mês de agosto. Os resultados foram excelentes, parabéns a todos!",Produtivo
"Assunto: Agendamento: Alinhamento Projeto Delta. Corpo: Prezados, estou marcando uma reunião para a próxima terça-feira, às 10h, para discutirmos o cronograma atualizado do Projeto Delta.",Produtivo
"Assunto: Dúvida sobre Fatura #9876. Corpo: Olá, notei uma discrepância no valor do serviço de consultoria na fatura em anexo. Poderiam verificar, por favor?",Produtivo
"Assunto: Aprovação Pendente: Requisição de Compra #RC-102. Corpo: A compra das novas licenças do software de BI está aguardando sua aprovação no sistema.",Produtivo
"Assunto: Status do Ticket de Suporte #S-54321. Corpo: Qual é a atualização mais recente sobre o ticket referente à instabilidade da API? O cliente está aguardando um retorno.",Produtivo
"Assunto: Feedback sobre o novo Design. Corpo: Gostei muito da nova proposta de layout para a landing page. Anexei um documento com algumas sugestões de pequenos ajustes.",Produtivo
"Assunto: Minuta da Reunião de Kick-off. Corpo: Segue a minuta da nossa reunião de hoje, com os principais pontos discutidos e os próximos passos definidos.",Produtivo
"Assunto: Solicitação de Acesso ao Repositório. Corpo: Olá, preciso de acesso de leitura ao repositório 'Projeto-Vega' no GitHub para consultar a documentação.",Produtivo
"Assunto: Confirmação de Deploy. Corpo: O deploy da versão 3.1.2 em produção foi concluído com sucesso às 15:45.",Produtivo
"Assunto: Análise de Churn Rate - Q3. Corpo: Anexei a planilha com a análise detalhada da taxa de churn do terceiro trimestre. Precisamos discutir os resultados.",Produtivo
"Assunto: Orçamento para Campanha de Final de Ano. Corpo: Qual o budget aprovado para a campanha de marketing digital de Natal este ano?",Produtivo
"Assunto: Problema no Ambiente de Homologação. Corpo: O servidor de testes está apresentando lentidão desde o último deploy. A equipe de infra já foi acionada.",Produtivo
"Assunto: Documentação para Onboarding de Cliente. Corpo: A documentação técnica para o onboarding do cliente Globex Inc. está finalizada e disponível no Confluence.",Produtivo
"Assunto: Pull Request #301 para Revisão. Corpo: O PR com a correção do bug de login está pronto para revisão.",Produtivo
"Assunto: Renovação de Certificado SSL. Corpo: Lembrete: o certificado SSL do nosso domínio principal expira em 10 dias. O processo de renovação já foi iniciado?",Produtivo
"Assunto: Alocação de Horas - Outubro. Corpo: Por favor, não se esqueçam de preencher a planilha de alocação de horas para os projetos de outubro até o final do dia.",Produtivo
"Assunto: Resumo de Despesas da Viagem. Corpo: Anexei as notas fiscais e o formulário de reembolso referentes à minha viagem a São Paulo.",Produtivo
"Assunto: Vaga em Aberto: Engenheiro de Dados Pleno. Corpo: Estamos com uma nova vaga no time. Se tiverem indicações, por favor, encaminhem para o RH.",Produtivo
"Assunto: Brainstorm para Novas Features Q1. Corpo: Criei um board no Miro para coletarmos ideias de novas funcionalidades para o primeiro trimestre do próximo ano.",Produtivo
"Assunto: Parecer Jurídico sobre Contrato. Corpo: Precisamos de uma análise do departamento jurídico sobre a cláusula de confidencialidade no contrato do cliente Stark Industries.",Produtivo
"Assunto: Acesso à VPN. Corpo: Meu acesso à VPN parou de funcionar após a última atualização. Podem me ajudar?",Produtivo
"Assunto: Relatório de Métricas de Engajamento - Setembro. Corpo: O relatório de engajamento das redes sociais está pronto e em anexo.",Produtivo
"Assunto: Atualização do Projeto Sirius. Corpo: O desenvolvimento da fase 1 do projeto atingiu 80% de conclusão. Seguimos dentro do prazo e do orçamento.",Produtivo
"Assunto: Gravação da Reunião de Demonstração. Corpo: Para quem não pôde participar, a gravação da demo da nova plataforma já está no Drive.",Produtivo
"Assunto: Testes de Carga na Nova API. Corpo: A equipe de QA agendou os testes de carga para a próxima quinta-feira, das 14h às 16h. A API pode apresentar instabilidade no período.",Produtivo
"Assunto: Definição de OKRs para o Q4. Corpo: Vamos marcar uma reunião para definirmos os OKRs (Objectives and Key Results) do nosso time para o último trimestre.",Produtivo
"Assunto: Feedback da Entrevista com Candidato. Corpo: Gostaria de compartilhar minhas impressões sobre o candidato que entrevistei hoje para a vaga de analista.",Produtivo
"Assunto: Migração do Banco de Dados. Corpo: A migração do banco de dados legado para o novo servidor ocorrerá na madrugada de sábado. O sistema ficará indisponível.",Produtivo
"Assunto: Proposta de Novo Fornecedor. Corpo: Anexei uma proposta de um novo fornecedor de serviços de cloud que oferece um custo-benefício melhor.",Produtivo
"Assunto: Plano de Ação para o Feedback do NPS. Corpo: Com base nos resultados da última pesquisa de satisfação, montei um plano de ação para os principais pontos de melhoria.",Produtivo
"Assunto: Boas Festas! Corpo: Desejo a você e sua família um Natal iluminado e um Ano Novo cheio de paz e sucesso!",Improdutivo
"Assunto: Almoço da equipe. Corpo: Pessoal, quem anima de almoçar no restaurante novo hoje? Aparentemente o prato do dia é bom.",Improdutivo
"Assunto: PROMOÇÃO IMPERDÍVEL! 50% OFF. Corpo: Só hoje, todo o site com 50% de desconto! Não perca tempo, a promoção é válida apenas pelas próximas 24 horas.",Improdutivo
"Assunto: Feliz Aniversário! Corpo: Parabéns! Muita saúde, paz, alegria e muitas realizações neste seu novo ciclo. Felicidades!",Improdutivo
"Assunto: Fotos do nosso happy hour. Corpo: E aí, pessoal! Seguem as fotos da nossa confraternização de sexta-feira. Foram ótimas!",Improdutivo
"Assunto: [NEWSLETTER] As novidades da semana. Corpo: Fique por dentro de tudo que aconteceu na empresa esta semana em nossa newsletter interna.",Improdutivo
"Assunto: Amigo Secreto 2025. Corpo: A lista para participar do nosso tradicional amigo secreto já está aberta! Quem quiser participar, me avise.",Improdutivo
"Assunto: Onde tem um bom café por aqui? Corpo: Alguém recomenda um lugar bom e tranquilo para tomar um café e trabalhar um pouco perto do escritório?",Improdutivo
"Assunto: Você ganhou um cupom de R$20. Corpo: Parabéns! Use o código VALE20 na sua próxima compra e ganhe R$20 de desconto.",Improdutivo
"Assunto: Bolão da final do campeonato. Corpo: O bolão para o jogo de domingo está valendo! Quem vai arriscar um palpite?",Improdutivo
"Assunto: Sua fatura do Spotify está disponível. Corpo: Olá, a sua fatura deste mês já foi fechada e o pagamento será debitado em breve.",Improdutivo
"Assunto: Lembrete: Amanhã é feriado! Corpo: Só para lembrar a todos que amanhã não haverá expediente. Bom descanso!",Improdutivo
"Assunto: Venda de ingressos. Corpo: Pessoal, estou vendendo dois ingressos para o show de sábado. Se alguém tiver interesse, me chama no privado.",Improdutivo
"Assunto: A cafeteira do 2º andar quebrou. Corpo: Alguém sabe se já abriram um chamado para consertar a máquina de café?",Improdutivo
"Assunto: Você foi mencionado no Slack. Corpo: Ana te mencionou no canal #projetos: 'Por favor, verifique isso.'",Improdutivo
"Assunto: Fofoca! Corpo: Você não vai acreditar no que eu descobri... te conto depois!",Improdutivo
"Assunto: Pesquisa de satisfação. Corpo: Sua opinião é importante! Responda nossa pesquisa rápida e nos ajude a melhorar nossos serviços.",Improdutivo
"Assunto: Quem quer uma carona? Corpo: Estou saindo em 15 minutos e passando perto da estação central. Alguém quer uma carona?",Improdutivo
"Assunto: O ar condicionado está muito forte. Corpo: Alguém mais está congelando aqui na baia 3? Acho que o ar está no máximo.",Improdutivo
"Assunto: [URGENTE] Sua conta precisa de atenção. Corpo: Detectamos uma atividade suspeita em sua conta. Por segurança, redefina sua senha.",Improdutivo
"Assunto: Playlist para focar no trabalho. Corpo: Criei uma playlist no Spotify com músicas instrumentais para ajudar na concentração. Quem quiser, o link é esse.",Improdutivo
"Assunto: Encomenda da Amazon a caminho. Corpo: Olá, seu pedido foi enviado e a previsão de entrega é amanhã.",Improdutivo
"Assunto: Grupo de corrida. Corpo: Para os interessados, nosso grupo de corrida se encontra toda terça e quinta às 7h em frente ao parque.",Improdutivo
"Assunto: [ALERTA] Phishing. Corpo: Atenção: e-mails falsos estão circulando. Não clique em links suspeitos nem forneça suas credenciais.",Improdutivo
"Assunto: Achados e Perdidos. Corpo: Encontrei um guarda-chuva preto na sala de reuniões 5. Se for seu, está na recepção.",Improdutivo
"Assunto: Webinário Gratuito sobre Finanças Pessoais. Corpo: Aprenda a organizar suas finanças e a investir melhor. Inscreva-se gratuitamente.",Improdutivo
"Assunto: O que vocês acharam da nova série da HBO? Corpo: Comecei a assistir ontem e estou viciado. Sem spoilers, por favor!",Improdutivo
"Assunto: Sua assinatura foi renovada. Corpo: Olá, sua assinatura do plano anual foi renovada com sucesso. Obrigado por continuar conosco.",Improdutivo
"Assunto: Confraternização de fim de ano. Corpo: SAVE THE DATE! Nossa festa de fim de ano será no dia 15 de Dezembro. Mais informações em breve!",Improdutivo
"Assunto: Limpeza da geladeira. Corpo: Pessoal, a geladeira da copa será limpa na sexta-feira. Por favor, retirem seus pertences.",Improdutivo
"Assunto: Validação de Requisitos - App Mobile. Corpo: Segue o documento de requisitos para o novo aplicativo. Aguardo validação até sexta-feira.", Produtivo
"Assunto: Acesso ao Servidor de Arquivos. Corpo: Preciso de permissão de escrita na pasta 'Marketing/Campanhas2025' no servidor de arquivos.", Produtivo
"Assunto: Relatório de Erros - API de Pagamentos. Corpo: O monitoramento acusou um aumento de erros 502 na API de pagamentos nas últimas 3 horas.", Produtivo
"Assunto: Agendamento de Treinamento - Nova Ferramenta de BI. Corpo: O treinamento para a nova ferramenta de Business Intelligence será na próxima quarta, às 9h.", Produtivo
"Assunto: Proposta de Orçamento - Cliente Wayne Enterprises. Corpo: Anexei a proposta ajustada conforme a última reunião. Por favor, revisar.", Produtivo
"Assunto: Status da Migração de Dados. Corpo: A migração dos dados do sistema antigo está 50% concluída. Previsão de término para amanhã.", Produtivo
"Assunto: Revisão de Texto para o Blog. Corpo: O post sobre as tendências do mercado financeiro está pronto para sua revisão.", Produtivo
"Assunto: Call de Alinhamento com o Time de Design. Corpo: Marquei uma breve call para hoje às 16:30 para alinharmos as próximas telas a serem desenvolvidas.", Produtivo
"Assunto: Hotfix em Produção. Corpo: A correção para o bug crítico de cálculo de juros foi aplicada em produção.", Produtivo
"Assunto: Análise de Concorrência. Corpo: Segue a análise de concorrência que preparei para o lançamento do nosso novo produto.", Produtivo
"Assunto: Férias. Corpo: Gostaria de formalizar meu pedido de férias para o período de 10 a 25 de Janeiro.", Produtivo
"Assunto: Novo Processo de Aprovação de Despesas. Corpo: A partir de hoje, todas as despesas devem ser aprovadas via sistema, conforme documentação anexa.", Produtivo
"Assunto: Link para a gravação do Webinar. Corpo: Para quem perdeu, o link para a gravação do nosso último webinar já está disponível.", Produtivo
"Assunto: Requisição de Acesso para Novo Colaborador. Corpo: Por favor, criar o usuário e email para o novo analista que inicia na próxima semana.", Produtivo
"Assunto: Dúvida sobre a Política de Home Office. Corpo: A política menciona o uso de equipamentos da empresa. Isso inclui a cadeira ergonômica?", Produtivo
